Rank,CommentDate,Date,RestaurantName,Comment,Address,StarRating,NumberOfReviews,Style,Price,predicted_sentiment,LengthReview,positive score,negative score,neutral score,compound score,x1,x2,cleaned
1,2023-09-16,2023-09-17,GRANVILLE,"Great ambiance indoors and attentive staff. Really great food. Right next to Cedars so lots of ambulance sirens, so eat inside if that bothers you. Be careful with the margarita. They must put ghost chili peppers in it because I couldn't feel my lips after one sip. Had to ditch it. But the Stroganoff and brownie dessert were terrific.","8701 Beverly Blvd West Hollywood, CA 90048",4.4,2672,"American (New), Cocktail Bars",$$,positive,336,0.163,0.046,0.791,0.8247,0.9121404144035405,0.6428571428571429,"['great', 'ambiance', 'indoors', 'attentive', 'staff', 'really', 'great', 'food', 'right', 'next', 'cedars', 'lots', 'ambulance', 'sirens', 'eat', 'inside', 'bothers', 'careful', 'margarita', 'must', 'put', 'ghost', 'chili', 'peppers', 'could', 'feel', 'lips', 'one', 'sip', 'ditch', 'stroganoff', 'brownie', 'dessert', 'terrific']"
1,2023-09-15,2023-09-17,GRANVILLE,Wrong wrong wrong.   AIf you don't fit the Ty as they will escort you out.  Don't drink here.,"8701 Beverly Blvd West Hollywood, CA 90048",4.4,2672,"American (New), Cocktail Bars",$$,negative,93,0.0,0.511,0.489,-0.9117,0.03887547777107224,0.6428571428571429,"['wrong', 'wrong', 'wrong', 'aif', 'fit', 'ty', 'escort', 'drink']"
1,2023-09-07,2023-09-17,GRANVILLE,Bad service!! The worst servers. Marcos the manager and the host on Thursday 9/7/2023 have been very rude and liars!! NOT COMING BACK HERE AGAIN I WOULD NOT RECOMMEND!,"8701 Beverly Blvd West Hollywood, CA 90048",4.4,2672,"American (New), Cocktail Bars",$$,negative,167,0.0,0.444,0.556,-0.9606,0.014282840474753561,0.6428571428571429,"['bad', 'service', 'worst', 'servers', 'marcos', 'manager', 'host', 'thursday', 'rude', 'liars', 'coming', 'back', 'would', 'recommend']"
1,2023-09-06,2023-09-17,GRANVILLE,One of my absolute favorite places in WeHo for brunch. The atmosphere is sleek and inviting and the menu is humongous and varied. Homemade craft colas were a highlight for me but the food was delicious too,"8701 Beverly Blvd West Hollywood, CA 90048",4.4,2672,"American (New), Cocktail Bars",$$,positive,205,0.245,0.0,0.755,0.8555,0.9276302554817945,0.6428571428571429,"['one', 'absolute', 'favorite', 'places', 'weho', 'brunch', 'atmosphere', 'sleek', 'inviting', 'menu', 'humongous', 'varied', 'homemade', 'craft', 'colas', 'highlight', 'food', 'delicious']"
1,2023-09-05,2023-09-17,GRANVILLE,"Always a good experience and food is great.Team are very courteous and pleasant.Not too loud, and nice & clean.","8701 Beverly Blvd West Hollywood, CA 90048",4.4,2672,"American (New), Cocktail Bars",$$,positive,111,0.48,0.0,0.52,0.8999,0.94995976664655,0.6428571428571429,"['always', 'good', 'experience', 'food', 'courteous', 'loud', 'nice', 'clean']"
1,2023-09-04,2023-09-17,GRANVILLE,"These five stars are for the food, service, and ambiance.First off, I love how this location allows reservations unlike the one in Pasadena.Secondly the customer service was off the chain. I know there are plenty of snooty customers here daily, I witnessed many while dining here. But that's not what we are here for lol our waitress Charis M and manager Celine were exceptional. This was the first time my friends and I dined here for brunch and we will definitely be coming back.From the drink recommendations to the food everything was delicious and tasteful,It was a group of six of us and we all enjoyed a variety of items on the menu. I will say the grilled cheese dipper and skirt steaks were highlights of the dishes,The cucumber martini was phenomenal , lemon drops were also delicious! Overall our experience here was a really good one thanks to Charis and Celine please continue to hire wonderful employees like these ladies!","8701 Beverly Blvd West Hollywood, CA 90048",4.4,2672,"American (New), Cocktail Bars",$$,positive,936,0.26,0.0,0.74,0.9945,0.9975357071011869,0.6428571428571429,"['five', 'stars', 'food', 'service', 'love', 'location', 'allows', 'reservations', 'unlike', 'one', 'customer', 'service', 'chain', 'know', 'plenty', 'snooty', 'customers', 'daily', 'witnessed', 'many', 'dining', 'lol', 'waitress', 'charis', 'manager', 'celine', 'exceptional', 'first', 'time', 'friends', 'dined', 'brunch', 'definitely', 'coming', 'drink', 'recommendations', 'food', 'everything', 'delicious', 'tasteful', 'group', 'six', 'us', 'enjoyed', 'variety', 'items', 'menu', 'say', 'grilled', 'cheese', 'dipper', 'skirt', 'steaks', 'highlights', 'dishes', 'cucumber', 'martini', 'phenomenal', 'lemon', 'drops', 'also', 'delicious', 'overall', 'experience', 'really', 'good', 'one', 'thanks', 'charis', 'celine', 'please', 'continue', 'hire', 'wonderful', 'employees', 'like', 'ladies']"
1,2023-09-03,2023-09-17,GRANVILLE,"Visited Granville for a quick lunch and had an excellent experience. We were seated immediately, which was a nice surprise.Started off with the brussel sprouts and bread and butter--both were delicious and set a high expectation for the rest of the meal. For entrees, I had the El Gaucho salad with chicken, and my partner opted for the angel hair pasta. Both were satisfying and flavorful.We were so eager to dig in that we forgot to take photos, so I guess we'll just have to come back for round two! Overall, a solid four-star experience.","8701 Beverly Blvd West Hollywood, CA 90048",4.4,2672,"American (New), Cocktail Bars",$$,positive,541,0.181,0.0,0.819,0.9541,0.9772178636089317,0.6428571428571429,"['visited', 'granville', 'quick', 'lunch', 'excellent', 'experience', 'seated', 'immediately', 'nice', 'brussel', 'sprouts', 'bread', 'butter', 'delicious', 'set', 'high', 'expectation', 'rest', 'meal', 'entrees', 'el', 'gaucho', 'salad', 'chicken', 'partner', 'opted', 'angel', 'hair', 'pasta', 'satisfying', 'eager', 'dig', 'forgot', 'take', 'photos', 'guess', 'come', 'back', 'round', 'two', 'overall', 'solid', 'experience']"
1,2023-09-03,2023-09-17,GRANVILLE,"Great ambience, generous portions, delicious cocktails, attentive service. Not the most interesting menu ever but it's a good choice. I'd go back.","8701 Beverly Blvd West Hollywood, CA 90048",4.4,2672,"American (New), Cocktail Bars",$$,positive,146,0.381,0.061,0.559,0.8467,0.9232045866022934,0.6428571428571429,"['great', 'ambience', 'generous', 'portions', 'delicious', 'cocktails', 'attentive', 'service', 'interesting', 'menu', 'ever', 'good', 'choice', 'go', 'back']"
1,2023-08-31,2023-09-17,GRANVILLE,Food was fine. Follow up service was non existent. No one ever came by to take the dirty plates or refill drinks. We had to get up to ask twice for water refills - still never came. We left.,"8701 Beverly Blvd West Hollywood, CA 90048",4.4,2672,"American (New), Cocktail Bars",$$,negative,190,0.043,0.122,0.835,-0.5106,0.24059545363106014,0.6428571428571429,"['food', 'fine', 'follow', 'service', 'non', 'existent', 'one', 'ever', 'came', 'take', 'dirty', 'plates', 'refill', 'drinks', 'get', 'ask', 'twice', 'water', 'refills', 'still', 'never', 'came', 'left']"
1,2023-08-31,2023-09-17,GRANVILLE,"The food was fine and the ambiance was nice. Our server was the bartender and he was kind enough but a bit too busy to focus on our refills and checking in.I ordered the salad with add on veggie chicken. It came out to $23, which I would call very over priced for the portion size. The taste was good but it was a small salad and the $6 add on protein was super bland without much thought given to its preparation.My husband got the Caesar salad with an $8 salmon add on. He enjoyed it but, again, it was small.I don't think our waters were ever refilled.I can understand being busy but I probably wouldn't revisit simply because of the unwarranted high prices.","8701 Beverly Blvd West Hollywood, CA 90048",4.4,2672,"American (New), Cocktail Bars",$$,positive,661,0.144,0.0,0.856,0.9593,0.9798330315831826,0.6428571428571429,"['food', 'fine', 'ambiance', 'nice', 'server', 'bartender', 'kind', 'enough', 'bit', 'busy', 'focus', 'refills', 'checking', 'ordered', 'salad', 'add', 'veggie', 'chicken', 'came', 'would', 'call', 'priced', 'portion', 'size', 'taste', 'good', 'small', 'salad', 'add', 'protein', 'super', 'bland', 'without', 'much', 'thought', 'given', 'husband', 'got', 'caesar', 'salad', 'salmon', 'add', 'enjoyed', 'think', 'waters', 'ever', 'understand', 'busy', 'probably', 'would', 'revisit', 'simply', 'unwarranted', 'high', 'prices']"
